"","Species","Pop_ID","Pop_Name","CU_ID","lat","lon","FAZ","MAZ","JAZ","FWA_WATERSHED_CODE","Pop_UID"
"CK-03.46034","Ck","46034","HARRISON RIVER","CK-03",49.21890306,-121.9450663,"LFR","GStr","LFR+GStr","100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-03.46034"
"CK-04.46101","Ck","46101","BIRKENHEAD RIVER","CK-04",50.30644079,-122.6070114,"LILL","GStr","LILL+GStr","100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-04.46101"
"CK-04.69351","Ck","69351","CHILLIWACK/VEDDER RIVER","CK-04",49.12566398,-122.0981661,"LFR","GStr","LFR+GStr","100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-04.69351"
"CK-04.69350","Ck","69350","COQUITLAM RIVER","CK-04",49.22648919,-122.8055618,"LFR","GStr","LFR+GStr","100-023788-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-04.69350"
"CK-04.46111","Ck","46111","GREEN RIVER/LILL","CK-04",50.30147365,-122.7224003,"LILL","GStr","LILL+GStr","100-077501-955583-455209-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-04.46111"
"CK-04.69055","Ck","69055","RYAN RIVER","CK-04",50.3589405,-122.8356076,"LILL","GStr","LILL+GStr","100-077501-955583-515913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-04.69055"
"CK-05.69058","Ck","69058","BLUE CREEK/LFR","CK-05",49.71314298,-122.717736,"LFR","GStr","LFR+GStr","100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-05.69058"
"CK-05.47921","Ck","47921","PITT RIVER-UPPER","CK-05",49.56628595,-122.6343385,"LFR","GStr","LFR+GStr","100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-05.47921"
"CK-06.46076","Ck","46076","BIG SILVER CREEK","CK-06",49.57559391,-121.8286997,"LFR","GStr","LFR+GStr","100-077501-616023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.46076"
"CK-06.46985","Ck","46985","CHILLIWACK/VEDDER RIVER","CK-06",49.12566398,-122.0981661,"LFR","GStr","LFR+GStr","100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000","CK-06.46985"
